coverage	n
2837	23
2838	23
2839	15
2840	27
2841	15
2842	23
2843	25
2844	25
2845	21
2846	24
2847	21
2848	26
2849	28
2850	24
2851	16
2852	20
2853	15
2854	14
2855	17
2856	28
2857	18
2858	15
2859	24
2860	21
2861	21
2862	26
2863	25
2864	21
2865	20
2866	31
2867	27
2868	24
2869	20
2870	26
2871	28
2872	12
2873	29
2874	23
2875	23
2876	18
2877	15
2878	22
2879	31
2880	18
2881	26
2882	17
2883	22
2884	33
2885	23
2886	26
2887	25
2888	22
2889	24
2890	27
2891	17
2892	23
2893	22
2894	24
2895	22
2896	21
2897	18
2898	16
2899	19
2900	29
2901	22
2902	31
2903	34
2904	26
2905	22
2906	26
2907	22
2908	19
2909	23
2910	20
2911	20
2912	26
2913	28
2914	22
2915	31
2916	19
2917	24
2918	29
2919	22
2920	25
2921	29
2922	31
2923	22
2924	29
2925	20
2926	35
2927	24
2928	27
2929	33
2930	25
2931	25
2932	25
2933	27
2934	26
2935	30
2936	20
2937	23
2938	19
2939	22
2940	19
2941	19
2942	21
2943	17
2944	23
2945	19
2946	19
2947	14
2948	21
2949	15
2950	15
2951	20
2952	18
2953	15
2954	27
2955	27
2956	17
2957	29
2958	21
2959	22
2960	22
2961	19
2962	21
2963	23
2964	26
2965	17
2966	15
2967	17
2968	24
2969	18
2970	19
2971	18
2972	18
2973	20
2974	15
2975	18
2976	15
2977	22
2978	18
2979	18
2980	14
2981	21
2982	26
2983	18
2984	17
2985	21
2986	21
2987	23
2988	18
2989	12
2990	18
2991	19
2992	17
2993	23
2994	16
